year,variable,description
2023,wgt_b,최종_표준화가중치(가중치의 합이 표본 크기와 동일)
2023,WEIGHTw2_B2,2차년도_종단면_표준화가중치
2023,ID,ID
2023,Area1,지역
2023,Age_group,연령대
2023,SQ1,SQ1. 성별
2023,q1_8,Q1. 지능형 서비스 이용 빈도 8) 소비
2023,q3_8,Q3. 지능형 서비스에 대한 기대 수준 8) 소비
2023,q15_6,Q15. 이용기록이 서버에 남을 것을 우려해 이용을 망설인 경험 6) 온라인 쇼핑몰에서 물건 구매하기
2023,q18_1,Q18. 인공지능 추천 서비스 제공자 책무 1) 추천 서비스 제공자는 이용자에게 인공지능 알고리즘이 선별한 콘텐츠의 선별 기준을 알려 줄 필요가 있다
2023,q18_2,Q18. 인공지능 추천 서비스 제공자 책무 2) 추천 서비스 제공자는 이용자에게 콘텐츠 제작자(생산자)가 인간 혹은 인공지능인지 알려 줄 필요가 있다
2023,q18_3,Q18. 인공지능 추천 서비스 제공자 책무 3) 추천 서비스 제공자는 이용자에게 제작자(생산자)의 인공지능 서비스 운영 과정에서 자신의 개인정보가 어떻게 수집되고 활용되는지를 알려 줄 필요가 있다
2023,q18_4,Q18. 인공지능 추천 서비스 제공자 책무 4) 추천 서비스 제공자는 이용자에게 인공지능 추천 서비스가 제공하는 콘텐츠를 합리적으로 이용할 수 있는 선택권을 보장할 필요가 있다
2023,q18_5,Q18. 인공지능 추천 서비스 제공자 책무 5) 추천 서비스 제공자는 이용자에게 본인이 원하지 않는 추천 콘텐츠의 노출 정도를 선택 또는 변경할 수 있도록 해야 한다
2023,q18_6,Q18. 인공지능 추천 서비스 제공자 책무 6) 추천 서비스 제공자는 이용자에게 다양성을 보장하는 개선된 추천 시스템을 지속적으로 제공할 필요가 있다
2023,q18_7,Q18. 인공지능 추천 서비스 제공자 책무 7) 추천 서비스 제공자는 이용자에게 인공지능 추천 서비스 이용 정보에 대한 처분권을 제공할 필요가 있다
2023,q18_8,Q18. 인공지능 추천 서비스 제공자 책무 8) 추천 서비스 제공자는 이용자에게 인공지능 추천 서비스를 이용하다 발생한 사고로 인한 피해나 불이익에 대해 설명할 필요가 있다
2023,q18_9,Q18. 인공지능 추천 서비스 제공자 책무 9) 추천 서비스 제공자는 이용자의 특성을 고려하여 콘텐츠의 위험성을 사전에 검증해야 한다
2023,q18_10,"Q18. 인공지능 추천 서비스 제공자 책무 10) 인공지능 추천 서비스 제공자는 시스템 운영 과정에서 기능적 오류, 오작동, 현행 법령 위반 등 부정적인 결과를 해결할 의무가 있다"
2023,q18_11,Q18. 인공지능 추천 서비스 제공자 책무 11) 인공지능 추천 서비스가 공공의 이익에 반할 때 정부의 제도적 보완이 필요하다
2023,q20_7,Q20. 기관·기업의 개인정보 관리 7) 온라인 쇼핑몰
2023,q21,Q21. 인공지능 추천 서비스 이용 시 개인정보수집 절차에 대한 반응
2023,q23,Q23. 생성형 AI 이용 경험
2023,q33_1,Q33. 디지털 역량 수준 1) 온라인 간편결제를 이용해 물건을 살 수 있다
2023,q33_3,Q33. 디지털 역량 수준 3) 행정업무처리를 위한 전자민원서비스 이용할 수 있다
2023,q33_4,Q33. 디지털 역량 수준 4) 인터넷이나 앱을 이용해 교통수단을 예약·호출할 수 있다
2023,q33_6,"Q33. 디지털 역량 수준 6) 키오스크로 음식 주문, 영화티켓 및 교통수단 승차권 구매, 병원 수납 등을 할 수 있다"
2023,q33_7,Q33. 디지털 역량 수준 7) 방송통신심의위원회가 무슨 일을 하는지 알고 있다
2023,q33_8,"Q33. 디지털 역량 수준 8) 피싱 당했을 때, 신고하는 방법과 피해 구제방법을 알고 있다"
2023,q33_9,"Q33. 디지털 역량 수준 9) 저작권이 침해됐을때, 신고하고 피해구제 받는 방법을 알고 있다"
2023,q33_10,Q33. 디지털 역량 수준 10) 포털이나 소셜미디어에서 누군가 내 권리를 침해했을 때 신고하는 방법을 안다
2023,q33_13,Q33. 디지털 역량 수준 13) 다른 자료들과 비교해 검색 결과에서 믿을만한 정보를 구별할 수 있다
2023,q33_14,Q33. 디지털 역량 수준 14) 광고성 정보를 구별해 낼 수 있다
2023,q33_20,Q33. 디지털 역량 수준 20) 정치·사회 문제에 대해 토론하거나 서명·청원 등을 할 수 있다
2023,DQ2_1,DQ2. 귀하의 최종학력은 어떻게 되십니까?_학력
2024,wgt_b,최종_표준화가중치(가중치의 합이 표본 크기와 동일)
2024,WEIGHTw3_B2,3차년도_종단면_표준화가중치
2024,id,ID
2024,Area1,지역
2024,Age_group,연령대
2024,SQ1,SQ1. 성별
2024,Q1_8,Q1. 지능형 서비스 이용 빈도 8) 소비
2024,Q3_8,Q3. 지능형 서비스에 대한 기대 수준 8) 소비
2024,Q15_6,Q15. 이용기록이 서버에 남을 것을 우려해 이용을 망설인 경험 6) 온라인 쇼핑몰에서 물건 구매하기
2024,q18_1,Q18. 인공지능 추천 서비스 제공자 책무 1) 추천 서비스 제공자는 이용자에게 인공지능 알고리즘이 선별한 콘텐츠의 선별 기준을 알려 줄 필요가 있다
2024,q18_2,Q18. 인공지능 추천 서비스 제공자 책무 2) 추천 서비스 제공자는 이용자에게 콘텐츠 제작자(생산자)가 인간 혹은 인공지능인지 알려 줄 필요가 있다
2024,q18_3,Q18. 인공지능 추천 서비스 제공자 책무 3) 추천 서비스 제공자는 이용자에게 제작자(생산자)의 인공지능 서비스 운영 과정에서 자신의 개인정보가 어떻게 수집되고 활용되는지를 알려 줄 필요가 있다
2024,q18_4,Q18. 인공지능 추천 서비스 제공자 책무 4) 추천 서비스 제공자는 이용자에게 인공지능 추천 서비스가 제공하는 콘텐츠를 합리적으로 이용할 수 있는 선택권을 보장할 필요가 있다
2024,q18_5,Q18. 인공지능 추천 서비스 제공자 책무 5) 추천 서비스 제공자는 이용자에게 본인이 원하지 않는 추천 콘텐츠의 노출 정도를 선택 또는 변경할 수 있도록 해야 한다
2024,q18_6,Q18. 인공지능 추천 서비스 제공자 책무 6) 추천 서비스 제공자는 이용자에게 다양성을 보장하는 개선된 추천 시스템을 지속적으로 제공할 필요가 있다
2024,q18_7,Q18. 인공지능 추천 서비스 제공자 책무 7) 추천 서비스 제공자는 이용자에게 인공지능 추천 서비스 이용 정보에 대한 처분권을 제공할 필요가 있다
2024,q18_8,Q18. 인공지능 추천 서비스 제공자 책무 8) 추천 서비스 제공자는 이용자에게 인공지능 추천 서비스를 이용하다 발생한 사고로 인한 피해나 불이익에 대해 설명할 필요가 있다
2024,q18_9,Q18. 인공지능 추천 서비스 제공자 책무 9) 추천 서비스 제공자는 이용자의 특성을 고려하여 콘텐츠의 위험성을 사전에 검증해야 한다
2024,q18_10,"Q18. 인공지능 추천 서비스 제공자 책무 10) 인공지능 추천 서비스 제공자는 시스템 운영 과정에서 기능적 오류, 오작동, 현행 법령 위반 등 부정적인 결과를 해결할 의무가 있다"
2024,q18_11,Q18. 인공지능 추천 서비스 제공자 책무 11) 인공지능 추천 서비스가 공공의 이익에 반할 때 정부의 제도적 보완이 필요하다
2024,q20_7,Q20. 기관·기업의 개인정보 관리 7) 온라인 쇼핑몰
2024,q21,Q21. 인공지능 추천 서비스 이용 시 개인정보수집 절차에 대한 반응
2024,Q24,Q24. 생성형 AI 이용 경험
2024,Q31_1,Q31. 디지털 역량 수준 1) 온라인 간편결제를 이용해 물건을 살 수 있다
2024,Q31_3,Q31. 디지털 역량 수준 3) 행정업무처리를 위한 전자민원서비스 이용할 수 있다
2024,Q31_4,Q31. 디지털 역량 수준 4) 인터넷이나 앱을 이용해 교통수단을 예약·호출할 수 있다
2024,Q31_6,"Q31. 디지털 역량 수준 6) 키오스크로 음식 주문, 영화티켓 및 교통수단 승차권 구매, 병원 수납 등을 할 수 있다"
2024,Q31_7,Q31. 디지털 역량 수준 7) 방송통신심의위원회가 무슨 일을 하는지 알고 있다
2024,Q31_8,"Q31. 디지털 역량 수준 8) 피싱 당했을 때, 신고하는 방법과 피해 구제방법을 알고 있다"
2024,Q31_9,"Q31. 디지털 역량 수준 9) 저작권이 침해됐을때, 신고하고 피해를 구제 받는 방법을 알고 있다"
2024,Q31_10,Q31. 디지털 역량 수준 10) 포털이나 소셜미디어에서 누군가 내 권리를 침해했을 때 신고하는 방법을 안다
2024,Q31_13,Q31. 디지털 역량 수준 13) 다른 자료들과 비교해 검색 결과에서 믿을만한 정보를 구별할 수 있다
2024,Q31_14,Q31. 디지털 역량 수준 14) 광고성 정보를 구별해 낼 수 있다
2024,Q31_20,Q31. 디지털 역량 수준 20) 정치·사회 문제에 대해 토론하거나 서명·청원 등을 할 수 있다
2024,DQ2_1,DQ2. 귀하의 최종학력은 어떻게 되십니까?_학력
2025,wgt_b,최종_표준화가중치(가중치의 합이 표본 크기와 동일)
2025,WEIGHTw4_B2,4차년도_종단면_표준화가중치
2025,id,ID
2025,Area1,지역
2025,Age_group,연령대
2025,SQ1,SQ1. 성별
2025,q1_8,Q1. 지능형 서비스 이용 빈도 8) 소비
2025,q3_8,Q3. 지능형 서비스에 대한 기대 수준 8) 소비
2025,q11_1,Q11. 인공지능 추천 서비스 제공자 책무 1) 추천 서비스 제공자는 이용자에게 인공지능 알고리즘이 선별한 콘텐츠의 선별 기준을 알려 줄 필요가 있다
2025,q11_2,Q11. 인공지능 추천 서비스 제공자 책무 2) 추천 서비스 제공자는 이용자에게 콘텐츠 제작자(생산자)가 인간 혹은 인공지능인지 알려 줄 필요가 있다
2025,q11_3,Q11. 인공지능 추천 서비스 제공자 책무 3) 추천 서비스 제공자는 이용자에게 제작자(생산자)의 인공지능 서비스 운영 과정에서 자신의 개인정보가 어떻게 수집되고 활용되는지를 알려 줄 필요가 있다
2025,q11_4,Q11. 인공지능 추천 서비스 제공자 책무 4) 추천 서비스 제공자는 이용자에게 인공지능 추천 서비스가 제공하는 콘텐츠를 합리적으로 이용할 수 있는 선택권을 보장할 필요가 있다
2025,q11_5,Q11. 인공지능 추천 서비스 제공자 책무 5) 추천 서비스 제공자는 이용자에게 본인이 원하지 않는 추천 콘텐츠의 노출 정도를 선택 또는 변경할 수 있도록 해야 한다
2025,q11_6,Q11. 인공지능 추천 서비스 제공자 책무 6) 추천 서비스 제공자는 이용자에게 다양성을 보장하는 개선된 추천 시스템을 지속적으로 제공할 필요가 있다
2025,q11_7,Q11. 인공지능 추천 서비스 제공자 책무 7) 추천 서비스 제공자는 이용자에게 인공지능 추천 서비스 이용 정보에 대한 처분권을 제공할 필요가 있다
2025,q11_8,Q11. 인공지능 추천 서비스 제공자 책무 8) 추천 서비스 제공자는 이용자에게 인공지능 추천 서비스를 이용하다 발생한 사고로 인한 피해나 불이익에 대해 설명할 필요가 있다
2025,q11_9,Q11. 인공지능 추천 서비스 제공자 책무 9) 추천 서비스 제공자는 이용자의 특성을 고려하여 콘텐츠의 위험성을 사전에 검증해야 한다
2025,q11_10,"Q11. 인공지능 추천 서비스 제공자 책무 10) 인공지능 추천 서비스 제공자는 시스템 운영 과정에서 기능적 오류, 오작동, 현행 법령 위반 등 부정적인 결과를 해결할 의무가 있다"
2025,q11_11,Q11. 인공지능 추천 서비스 제공자 책무 11) 인공지능 추천 서비스가 공공의 이익에 반할 때 정부의 제도적 보완이 필요하다
2025,q12,Q12. 인공지능 추천 서비스 이용 시 개인정보 수집 절차에 대한 반응
2025,q14_6,Q14. 이용기록이 서버에 남을 것을 우려해 이용을 망설인 경험 6) 온라인 쇼핑몰에서 물건 구매하기
2025,q18_7,Q18. 기관·기업의 개인정보 관리 7) 온라인 쇼핑몰
2025,q20,Q20. 생성형 AI 이용 경험
2025,q29_1,Q29. 디지털 역량 수준 1) 온라인 간편결제를 이용해 물건을 살 수 있다
2025,q29_3,Q29. 디지털 역량 수준 3) 행정업무처리를 위한 전자민원서비스 이용할 수 있다
2025,q29_4,Q29. 디지털 역량 수준 4) 인터넷이나 앱을 이용해 교통수단을 예약·호출할 수 있다
2025,q29_6,"Q29. 디지털 역량 수준 6) 키오스크로 음식 주문, 영화티켓 및 교통수단 승차권 구매, 병원 수납 등을 할 수 있다"
2025,q29_7,Q29. 디지털 역량 수준 7) 방송통신심의위원회가 무슨 일을 하는지 알고 있다
2025,q29_8,"Q29. 디지털 역량 수준 8) 피싱 당했을 때, 신고하는 방법과 피해 구제방법을 알고 있다"
2025,q29_9,"Q29. 디지털 역량 수준 9) 저작권이 침해됐을 때, 신고하고 피해구제 받는 방법을 알고 있다"
2025,q29_10,Q29. 디지털 역량 수준 10) 포털이나 소셜미디어에서 누군가 내 권리를 침해했을 때 신고하는 방법을 안다
2025,q29_13,Q29. 디지털 역량 수준 13) 다른 자료들과 비교해 검색 결과에서 믿을만한 정보를 구별할 수 있다
2025,q29_14,Q29. 디지털 역량 수준 14) 광고성 정보를 구별해 낼 수 있다
2025,q29_20,Q29. 디지털 역량 수준 20) 정치·사회 문제에 대해 토론하거나 서명·청원 등을 할 수 있다
2025,DQ2_1,DQ2. 귀하의 최종학력은 어떻게 되십니까?_학력
